"_time","src_ip","src_zone","dest_ip","dest_zone","dest_port","packets_out","packets_in",dvc,"session_end_reason",flags,app
"2026-08-05T23:02:02.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T23:00:02.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T22:58:01.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T22:56:00.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T22:54:00.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T22:51:57.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T22:49:56.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T22:47:56.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T22:45:56.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T22:43:54.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,17,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
"2026-08-05T22:41:53.204-0400","204.99.53.30",Inside,"170.48.22.131",DMZ2,8613,16,16,"PAZSHDC-SEC-EXTWIR-PA-01","tcp-fin",nat,ssl
